מושגים,,,נושא
סטרומטוליטים,,"המאובנים העתיקים ביותר, מתוארכים לפני כ-35 מיליארד שנים. על גביהם רואים תבנית של תאי חיידקים – צ'יאנובקטריה.",
תארוך יחסי ,,"תארוך גיל מאובן  על פי שכבות סלע, ככל שהמאובן עמוק יותר כך הוא עתיק יותר מהשכבה הראשונה",
תארוך אבסולוטי,,"בדיקה של גיל מאובן מבוסס על radioactive isotope  המבוססים על איזוטופים רדיואקטיבים של יסודות שונים. בדיקה של כמות חומר, וחישוב על פי זמן הפירוק שלו",
ציאונבקטריה,,"חיידקים קדמונים שעשו פוטוסינטזה על מנת להפיק אנרגיה מהאור, והם אלו שאפשרו את הקיום של חמצן בעולם",
מיקוריזה,,פטריות שיודעות להפיק חלק מהנוטריינטים יותר טוב מהאדמה לצמח,
,arthropods ,ממחלקת עכבישים ווחרקים,
,tetrapods ,בעלי 4 גפיים - זוחלים ודו חיים,
ספצליזציה,,– תאים מסוימים מקבלים פונקציה אחת ותאים אחרים מקבלים פונקציה אחרת.,
,:Cambrian Explosion,"התקופה בה התפתחו יחסי טורף ונטרף, ונוצרו הטורפים המאסיביים הראשוניים",
נדידת יבשות,:Continental drift,"תאוריה האומרת כי פעם כל היבשות בעולם היו מחוברות ליבשה אחת אשר התפצלהֿ עם השינויים בעולם, האבולוציה תומכת בתאוריה זו.(והיא לחלופין בה)",
,Adaptive radiations,אבולוציה מהירה שמתרחשת מאב קדמון משותף תוך התפתחות של הרבה מאוד מינים,
